producer,name,vintage,varietal,region,country,size_ml,format,currency,quantity,unit_cost,bin,section
Maison Lefevre,Vina del Alto Merlot,1987,Merlot,Bordeaux,France,750,Bottle,USD,7,2910.95,A25-1,Reds
Harrison Cellars,Single Vineyard Sauvignon Blanc,2006,Sauvignon Blanc,Marlborough,New Zealand,750,Bottle,USD,32,72.33,D16-8,Whites
Bodega Contreras,Estate Malbec,1996,Malbec,Mendoza,Argentina,750,Bottle,USD,107,2370.57,D25-2,Reds
Podere Ferraro,Vigneto delle Rose,1978,Nebbiolo,Piedmont,Italy,750,Bottle,EUR,103,291.92,A29-12,Reds
Fattoria Bianchi,Podere del Sole,1990,Barbera,Piedmont,Italy,750,Bottle,EUR,26,3187.83,S35-11,Reds
Sutherland Cellars,Old Vine Pinot Noir,2014,Pinot Noir,Central Otago,New Zealand,750,Bottle,USD,120,3123.22,C2-8,Reds
Finca Ibarra,Pinot Noir,2021,Pinot Noir,Casablanca Valley,Chile,750,Bottle,GBP,5,975.74,A39-5,Reds
Bodega Cano,Clos de la Chapelle Tempranillo,2004,Tempranillo,Ribera del Duero,Spain,750,Bottle,USD,2,41.88,A26-1,Reds
Raven Gulch Estate,El Rincon,1994,Touriga Nacional,Douro,Portugal,750,Bottle,EUR,32,46.96,A5-5,Reds
Sutherland Wines,Old Vine Shiraz,2002,Shiraz,Barossa Valley,Australia,750,Bottle,USD,33,29.93,D25-5,Reds
Caldwell Cellars,Old Vine Grenache,2012,Grenache,Barossa Valley,Australia,750,Bottle,EUR,1,2342.05,A33-5,Reds
Windward Flat Vineyards,Le Clos Fleuri Bordeaux Blend,1996,Bordeaux Blend,Bordeaux,France,750,Bottle,USD,67,350.66,D17-10,Reds
Bodega Reyes,Clos de la Chapelle Albarino,1990,Albarino,Rias Baixas,Spain,750,Bottle,USD,1,108.26,R36-7,Whites
Domaine Perrin,Vina del Alto Gewurztraminer,2015,Gewurztraminer,Alsace,France,750,Bottle,GBP,2,4309.46,R24-7,Whites
Bodega Ruiz,Sonnenlage Tempranillo,2018,Tempranillo,Rioja,Spain,750,Bottle,EUR,40,459.44,R26-8,Reds
Maison Perrin,Les Fournaux Rhone Blend,1986,Rhone Blend,Rhone Valley,France,750,Bottle,USD,10,380.73,D7-9,Reds
Weingut Steiner,Encosta Dourada Riesling,2012,Riesling,Mosel,Germany,750,Bottle,USD,31,14.34,B15-8,Whites
Bodegas Campos,Colline d'Oro Garnacha,1982,Garnacha,Rioja,Spain,750,Bottle,USD,33,664.35,B10-8,Reds
Domaine Chapelle,Costa Alta Bordeaux Blend,1985,Bordeaux Blend,Bordeaux,France,750,Bottle,USD,14,54.53,C31-2,Reds
Finca Salinas,Sonnenlage Carinena,1994,Carinena,Priorat,Spain,750,Bottle,USD,15,881.74,R17-7,Reds
Weingut Richter,Costa Alta Riesling,2020,Riesling,Wachau,Austria,750,Bottle,USD,40,41.46,S33-10,Whites
Podere Barbieri,La Petite Combe Cabernet Sauvignon,2009,Cabernet Sauvignon,Tuscany,Italy,750,Bottle,USD,46,1219.69,C32-9,Reds
Holloway Cellars,Old Vine Chardonnay,1995,Chardonnay,Margaret River,Australia,750,Bottle,USD,2,3420.35,A14-12,Whites
Stonebridge Creek Winery,Vigna del Vento Chardonnay,1976,Chardonnay,Burgundy,France,750,Bottle,USD,28,18.69,C35-9,Whites
Chateau Moreau,Le Clos Perdu Cabernet Franc,2006,Cabernet Franc,Bordeaux,France,750,Bottle,USD,26,4665.30,R23-8,Reds
Quinta Ferreira,Cuesta del Rio,1991,Touriga Nacional,Douro,Portugal,750,Bottle,USD,51,27.72,C33-9,Reds
Bodega Fernandez,Estate Cabernet Sauvignon,2008,Cabernet Sauvignon,Colchagua Valley,Chile,750,Bottle,EUR,108,534.42,R2-3,Reds
Ashworth Cellars,Cabernet Sauvignon,2005,Cabernet Sauvignon,Margaret River,Australia,375,Half Bottle,USD,63,27.26,S9-7,Reds
Finca Salinas,Terra Bruna Garnacha,1993,Garnacha,Priorat,Spain,750,Bottle,USD,92,394.15,S1-5,Reds
Maison Chapelle,La Petite Combe Pinot Noir,2003,Pinot Noir,Burgundy,France,750,Bottle,USD,45,1583.00,C17-3,Reds
Chateau Girard,Vale do Rio,1988,Riesling,Alsace,France,750,Bottle,EUR,20,2961.15,R5-2,Whites
Bodega Fernandez,Estate Cabernet Sauvignon,2008,Cabernet Sauvignon,Colchagua Valley,Chile,750,Bottle,USD,49,1494.68,A24-8,Reds
Sutherland Wines,Old Vine Grenache,1978,Grenache,Barossa Valley,Australia,3000,Double Magnum,USD,11,464.39,C40-3,Reds
Sable Gulch Vineyards,Estate Cabernet Sauvignon,1995,Cabernet Sauvignon,Stellenbosch,South Africa,750,Bottle,USD,37,317.83,S21-9,Reds
Weingut Richter,Sonnenlage Riesling,2002,Riesling,Rheingau,Germany,750,Bottle,USD,5,625.85,R18-3,Whites
Bodegas Mendez,Les Terrasses,1991,Tempranillo,Ribera del Duero,Spain,750,Bottle,USD,33,1687.70,S14-6,Reds
Tin Roof Pass Cellars,La Combe aux Loups Corvina,1978,Corvina,Veneto,Italy,750,Bottle,USD,23,3906.38,R28-10,Reds
Chateau Bertrand,Clos du Moulin,1987,Rhone Blend,Rhone Valley,France,750,Bottle,USD,37,10.94,D19-10,Reds
Finca Aguirre,Carmenere,1998,Carmenere,Colchagua Valley,Chile,750,Bottle,USD,11,584.13,S12-8,Reds
Bodegas Ruiz,Oloroso,,Palomino,Jerez,Spain,750,Bottle,USD,7,56.21,S27-1,Fortified
Cantina Greco,Vigna del Vento Grillo,2013,Grillo,Sicily,Italy,750,Bottle,EUR,46,684.20,A38-2,Cellar
Quinta Rocha,Podere del Sole,2015,Touriga Nacional,Douro,Portugal,750,Bottle,USD,17,25.18,A15-11,Reds
Chateau Girard,Vigneto delle Rose,2016,Pinot Gris,Alsace,France,750,Bottle,USD,4,350.32,D20-8,Whites
Widows Peak Pass Winery,La Vigna Alta Cabernet Franc,1995,Cabernet Franc,Bordeaux,France,750,Bottle,USD,15,286.48,C1-1,Reds
Holloway Wines,Old Vine Pinot Noir,1998,Pinot Noir,Willamette Valley,United States,750,Bottle,USD,24,246.37,A10-5,Reds
Fox Hollow Meadows Winery,Ladera Antigua,2017,Gruner Veltliner,Wachau,Austria,750,Bottle,USD,14,4931.89,B16-6,Whites
Bodega Ruiz,Terra Bruna Albarino,1975,Albarino,Rias Baixas,Spain,750,Bottle,USD,54,88.86,S19-7,Whites
Whistling Hollow Estate,El Rincon,2013,Touriga Nacional,Douro,Portugal,750,Bottle,GBP,64,705.90,R30-12,Reds
Vina Delgado,Single Vineyard Carmenere,1999,Carmenere,Colchagua Valley,Chile,750,Bottle,USD,3,449.08,S15-7,Reds
Prentice Vineyards,Estate Sauvignon Blanc,2005,Sauvignon Blanc,Marlborough,New Zealand,750,Bottle,USD,8,11.02,C33-9,Whites
Domaine Bonnet,Terrassenlage,2009,Gewurztraminer,Alsace,France,750,Bottle,USD,42,15.25,R2-2,Whites
Chateau Delacroix,Vale do Rio,2002,Riesling,Alsace,France,750,Bottle,USD,72,355.42,S9-9,Whites
Quinta Ferreira,Cuesta del Rio,2011,Touriga Nacional,Douro,Portugal,750,Bottle,USD,17,103.06,R40-4,Reds
Bodega Ibarra,Cabernet Sauvignon,2001,Cabernet Sauvignon,Colchagua Valley,Chile,750,Bottle,USD,4,38.81,S23-9,Reds
Fox Hollow Pass Vineyard,Les Grandes Vignes,2007,Corvina,Veneto,Italy,750,Bottle,EUR,71,20.00,S11-10,Reds
Finca Delgado,Single Vineyard Malbec,1985,Malbec,Mendoza,Argentina,750,Bottle,USD,1,190.40,D10-4,Reds
Podere Villa,Le Clos Fleuri Barbera,1975,Barbera,Piedmont,Italy,750,Bottle,USD,23,761.96,S16-6,Reds
Bodegas Alvarez,La Combe aux Loups,1995,Tempranillo,Rioja,Spain,750,Bottle,USD,1,86.84,C22-12,Reds
Maison Aubert,Sonnenlage Riesling,2014,Riesling,Alsace,France,750,Bottle,USD,102,276.90,S1-7,Whites
Quinta Rocha,Costa Alta Touriga Nacional,2011,Touriga Nacional,Douro,Portugal,750,Bottle,EUR,96,1197.95,B22-2,Reds
Bodega Contreras,Sauvignon Blanc,2005,Sauvignon Blanc,Casablanca Valley,Chile,750,Bottle,USD,27,13.60,S36-9,Whites
Bodega Herrera,Clos Saint-Martin,2022,Tempranillo,Ribera del Duero,Spain,750,Bottle,USD,2,123.06,S1-11,Reds
Weingut Richter,Ladera Antigua,2010,Riesling,Rheingau,Germany,750,Bottle,USD,87,178.36,C30-8,Whites
Fattoria Conti,Terrassenlage,2014,Dolcetto,Piedmont,Italy,750,Bottle,USD,55,3704.34,C31-4,Reds
Weathered Gulch Vineyard,Malbec Reserve,2003,Malbec,Mendoza,Argentina,750,Bottle,USD,9,8.01,D33-6,Reds
Domaine de la Romanee-Conti,Romanee-Conti,2015,Pinot Noir,Burgundy,France,750,Bottle,USD,10,18.98,S5-8,Reds
Chateau Moreau,Vigna del Vento,2019,Chenin Blanc,Loire Valley,France,750,Bottle,USD,61,1855.71,D17-12,Whites
Tenuta Marchetti,Costa Alta Garganega,1975,Garganega,Veneto,Italy,750,Bottle,EUR,37,10.43,B32-9,Whites
Podere Ferraro,Les Fournaux,1979,Dolcetto,Piedmont,Italy,750,Bottle,EUR,36,13.86,B6-4,Reds
Clos Rousseau,Weinberg Reserve,1999,Cabernet Sauvignon,Bordeaux,France,750,Bottle,USD,17,1322.80,S22-1,Reds
Podere Villa,La Combe aux Loups Barbera,1998,Barbera,Piedmont,Italy,750,Bottle,USD,3,2588.01,B24-7,Reds
Cantina Colombo,Clos du Moulin Barbera,2012,Barbera,Piedmont,Italy,750,Bottle,GBP,2,20.08,B8-10,Reds
Weingut Steiner,La Croix Blanche,2011,Riesling,Mosel,Germany,750,Bottle,USD,56,1121.58,S12-9,Whites
Quinta Nogueira,La Vigna Alta Touriga Nacional,1975,Touriga Nacional,Douro,Portugal,750,Bottle,USD,106,712.24,A20-3,Reds
Cantina Colombo,Cuesta del Rio Barbera,2008,Barbera,Piedmont,Italy,750,Bottle,USD,36,501.95,B16-8,Reds
Holloway Wines,Single Vineyard Pinot Gris,2006,Pinot Gris,Willamette Valley,United States,750,Bottle,USD,28,22.57,D34-6,Whites
Tenuta Marchetti,Vigna del Vento,2010,Nebbiolo,Piedmont,Italy,750,Bottle,USD,11,2755.45,C6-12,Reds
Crooked Bluff Wine Co.,Colline d'Oro Sauvignon Blanc,2015,Sauvignon Blanc,Loire Valley,France,750,Bottle,EUR,4,170.18,C23-2,Whites
Holloway Wines,Estate Pinot Gris,1985,Pinot Gris,Willamette Valley,United States,750,Bottle,USD,40,169.12,A31-12,Whites
Blackwood Cellars,Pinot Noir Reserve,1992,Pinot Noir,Sonoma County,United States,750,Bottle,USD,7,1232.44,A14-10,Reds
Fattoria Conti,Clos des Cerisiers Nero d'Avola,1988,Nero d'Avola,Sicily,Italy,750,Bottle,USD,7,1092.74,R9-5,Reds
Bodegas Mendez,Steilhang Reserve Tempranillo,2016,Tempranillo,Ribera del Duero,Spain,750,Bottle,USD,25,471.70,A11-9,Reds
Finca Alvarez,Clos des Cerisiers,2014,Tempranillo,Ribera del Duero,Spain,750,Bottle,EUR,25,1699.86,R12-8,Reds
Whitfield Vineyards,Estate Zinfandel,2002,Zinfandel,Sonoma County,United States,750,Bottle,USD,7,988.28,A26-8,Reds
Domaine Perrin,Weinberg Reserve Gewurztraminer,2016,Gewurztraminer,Alsace,France,750,Bottle,USD,12,3179.50,C14-12,Whites
Chateau Rousseau,El Rincon,2018,Rhone Blend,Rhone Valley,France,750,Bottle,USD,49,8.23,R26-5,Reds
Sinclair Cellars,Old Vine Zinfandel,2018,Zinfandel,Sonoma County,United States,750,Bottle,USD,3,25.68,B17-10,Reds
Sawyer Winery,Old Vine Pinot Noir,2002,Pinot Noir,Willamette Valley,United States,750,Bottle,USD,7,224.07,C21-10,Reds
Cantina Colombo,Cuesta del Rio Nebbiolo,1980,Nebbiolo,Piedmont,Italy,750,Bottle,USD,45,3744.04,D21-8,Reds
Harrison Vineyards,Single Vineyard Pinot Gris,2004,Pinot Gris,Willamette Valley,United States,750,Bottle,USD,15,94.49,D21-4,Whites
Botha Cellars,Cabernet Sauvignon Reserve,2001,Cabernet Sauvignon,Stellenbosch,South Africa,750,Bottle,USD,1,14.74,C36-3,Reds
Cantina Ricci,Clos Saint-Martin Grillo,2017,Grillo,Sicily,Italy,750,Bottle,USD,4,11.39,D36-4,Cellar
Maison Fabre,Les Grandes Vignes Cabernet Franc,2015,Cabernet Franc,Bordeaux,France,750,Bottle,EUR,1,3636.92,A32-4,Reds
Bodegas Cano,Le Clos Fleuri Carinena,1983,Carinena,Priorat,Spain,750,Bottle,USD,15,9.16,R29-10,Reds
Sawyer Vineyards,Chardonnay,1981,Chardonnay,Margaret River,Australia,750,Bottle,USD,21,42.18,C18-6,Whites
Cantina Ricci,Terra Bruna Grillo,2020,Grillo,Sicily,Italy,750,Bottle,USD,5,73.65,B28-5,Cellar
Quinta Nogueira,Podere del Sole Touriga Nacional,1978,Touriga Nacional,Douro,Portugal,750,Bottle,USD,17,467.10,S6-4,Reds
Foggy Bend Farms Vineyards,Quinta da Serra Garnacha,1990,Garnacha,Priorat,Spain,750,Bottle,GBP,16,107.22,A17-7,Reds
Finca Ibarra,Pinot Noir,1996,Pinot Noir,Casablanca Valley,Chile,750,Bottle,USD,31,75.08,C4-6,Reds
Weingut Hoffmann,Vigneto delle Rose,2011,Riesling,Mosel,Germany,750,Bottle,USD,81,259.94,C39-7,Whites
Whitfield Estate,Single Vineyard Cabernet Sauvignon,2017,Cabernet Sauvignon,Margaret River,Australia,750,Bottle,USD,53,236.24,S24-8,Reds
Tenuta Moretti,Ribera Alta Sangiovese,1986,Sangiovese,Tuscany,Italy,750,Bottle,USD,55,65.15,C12-4,Reds
Joubert Wines,Estate Cabernet Sauvignon,2002,Cabernet Sauvignon,Stellenbosch,South Africa,750,Bottle,GBP,57,3095.43,A29-4,Reds
Maison Lefevre,Alte Reben Cabernet Franc,1979,Cabernet Franc,Bordeaux,France,750,Bottle,GBP,105,2092.92,R21-1,Reds
Sutherland Vineyards,Estate Chardonnay,1977,Chardonnay,Sonoma County,United States,750,Bottle,EUR,5,200.33,D15-4,Whites
Foggy Bend Ridge Estate,Costa Alta,1976,Grenache,Rhone Valley,France,750,Bottle,USD,23,702.21,S26-4,Reds
Bodega Vidal,Ribera Alta,1992,Garnacha,Priorat,Spain,750,Bottle,GBP,2,432.98,B37-6,Reds
Bodegas Mendez,Les Terrasses,1991,Tempranillo,Ribera del Duero,Spain,375,Half Bottle,USD,73,188.69,A3-12,Reds
Bodega Campos,Fino,,Palomino,Jerez,Spain,750,Bottle,USD,4,262.40,D7-6,Fortified
Finca Alvarez,Clos des Cerisiers,2014,Tempranillo,Ribera del Duero,Spain,750,Bottle,USD,7,366.05,B22-5,Reds
Weingut Kessler,Le Clos Perdu,1981,Riesling,Mosel,Germany,750,Bottle,GBP,69,2133.79,A22-11,Whites
Quinta Rocha,La Petite Combe,2009,Touriga Nacional,Douro,Portugal,750,Bottle,USD,54,15.24,R15-10,Reds
Hollow Farms Cellars,Clos du Moulin Nero d'Avola,2007,Nero d'Avola,Sicily,Italy,375,Half Bottle,USD,2,44.47,A6-1,Reds
Raven Flat Cellars,El Rincon Gewurztraminer,1995,Gewurztraminer,Alsace,France,750,Bottle,USD,14,23.27,B17-4,Whites
Hartley Wines,Old Vine Cabernet Sauvignon,1977,Cabernet Sauvignon,Napa Valley,United States,750,Bottle,EUR,115,28.14,D7-8,Reds
Bodega Contreras,Pinot Noir Reserve,2008,Pinot Noir,Casablanca Valley,Chile,750,Bottle,USD,29,108.81,A17-2,Reds
Bodega Reyes,Les Terrasses,1977,Albarino,Rias Baixas,Spain,750,Bottle,USD,32,1680.59,B2-7,Whites
Weingut Richter,Terrassenlage Riesling,2017,Riesling,Rheingau,Germany,750,Bottle,EUR,74,160.44,R19-6,Whites
Hollow Farms Cellars,Clos du Moulin Nero d'Avola,2007,Nero d'Avola,Sicily,Italy,750,Bottle,EUR,8,1527.50,R3-6,Reds
Weingut Vogel,Les Grandes Vignes,2014,Riesling,Mosel,Germany,750,Bottle,USD,56,856.02,C14-8,Whites
Cantina Greco,Le Clos Fleuri,2017,Grillo,Sicily,Italy,750,Bottle,USD,7,105.95,S38-3,Cellar
Marais Vineyards,Estate Chenin Blanc,1998,Chenin Blanc,Stellenbosch,South Africa,750,Bottle,GBP,49,259.91,A3-12,Whites
Bodega Contreras,Estate Malbec,2012,Malbec,Mendoza,Argentina,750,Bottle,USD,17,18.15,B20-9,Reds
Weathered Ridge Estate,Chardonnay Reserve,2011,Chardonnay,Sonoma County,United States,750,Bottle,USD,6,796.44,R16-7,Whites
Bodega Castillo,La Petite Combe Tempranillo,2004,Tempranillo,Ribera del Duero,Spain,750,Bottle,USD,68,1239.45,B2-2,Reds
Clos Bertrand,Vigna del Vento Bordeaux Blend,1977,Bordeaux Blend,Bordeaux,France,750,Bottle,USD,29,913.64,B19-5,Reds
Weingut Wagner,Vina del Alto Gruner Veltliner,1987,Gruner Veltliner,Wachau,Austria,750,Bottle,GBP,19,807.87,D20-2,Whites
Ridge Vineyards,Monte Bello,2015,Cabernet Sauvignon,Santa Cruz Mountains,United States,750,Bottle,USD,84,15.37,B27-5,Reds
Ravenscroft Estate,Old Vine Pinot Noir,2021,Pinot Noir,Willamette Valley,United States,750,Bottle,USD,12,1216.83,D13-11,Reds
Cantina Greco,La Combe aux Loups,2005,Sangiovese,Tuscany,Italy,750,Bottle,USD,41,56.06,C16-5,Reds
Quinta Nogueira,Clos de la Chapelle Touriga Nacional,2019,Touriga Nacional,Douro,Portugal,750,Bottle,USD,9,1356.40,D9-2,Reds
Stonebridge Ridge Estate,Colline d'Oro Pinot Gris,1985,Pinot Gris,Alsace,France,750,Bottle,USD,10,235.57,D14-7,Whites
Bodega Mendez,Clos du Moulin,1984,Garnacha,Rioja,Spain,750,Bottle,USD,19,319.18,C13-1,Reds
Clos Rousseau,Les Grandes Vignes Riesling,2005,Riesling,Alsace,France,750,Bottle,USD,54,2262.10,D9-12,Whites
Tenuta Moretti,Sonnenlage Grillo,1980,Grillo,Sicily,Italy,750,Bottle,USD,45,97.05,B19-5,Cellar
Half Moon Creek Winery,Old Vine Pinot Gris,2004,Pinot Gris,Willamette Valley,United States,750,Bottle,USD,13,1826.65,A11-7,Whites
Sinclair Estate,Old Vine Grenache,2008,Grenache,Barossa Valley,Australia,750,Bottle,USD,101,3240.08,B36-6,Reds
Podere Ferraro,Sonnenlage Corvina,2003,Corvina,Veneto,Italy,750,Bottle,EUR,57,564.15,C32-6,Reds
Weingut Kellermann,Clos des Cerisiers,1989,Gruner Veltliner,Wachau,Austria,750,Bottle,USD,5,573.51,R38-6,Whites
Ridge Vineyards,Monte Bello,2005,Cabernet Sauvignon,Santa Cruz Mountains,United States,750,Bottle,EUR,2,225.46,R40-4,Reds
Bodegas Campos,La Petite Combe,1984,Tempranillo,Rioja,Spain,750,Bottle,USD,103,222.30,A5-1,Reds
Fattoria Conti,Le Clos Fleuri,2022,Dolcetto,Piedmont,Italy,750,Bottle,USD,18,425.35,D3-2,Reds
Tin Roof Draw Vineyard,Les Chaumes,2015,Touriga Nacional,Douro,Portugal,750,Bottle,USD,16,31.94,R2-3,Reds
Raven Gulch Winery,Ribera Alta,2022,Riesling,Mosel,Germany,750,Bottle,USD,10,10.38,R15-11,Whites
Podere Ferraro,Clos du Moulin Corvina,1989,Corvina,Veneto,Italy,750,Bottle,USD,42,1592.94,A26-5,Reds
Foggy Bend Meadows Wine Co.,Vigneto delle Rose,2005,Garnacha,Rioja,Spain,750,Bottle,USD,22,384.91,S4-12,Reds
Bridle Crossing Winery,Vale do Rio Touriga Nacional,2020,Touriga Nacional,Douro,Portugal,750,Bottle,EUR,11,26.13,B21-5,Reds
Marais Vineyards,Single Vineyard Cabernet Sauvignon,1995,Cabernet Sauvignon,Stellenbosch,South Africa,750,Bottle,USD,104,49.90,R13-9,Reds
Tenuta Moretti,Clos de la Chapelle,1998,Garganega,Veneto,Italy,750,Bottle,USD,85,181.12,C36-4,Whites
Weingut Kellermann,Le Clos Perdu,2018,Riesling,Rheingau,Germany,750,Bottle,USD,4,211.95,D30-6,Whites
Weathered Rise Winery,Clos du Moulin Chardonnay,2011,Chardonnay,Burgundy,France,750,Bottle,GBP,44,1036.27,D40-1,Whites
Ashworth Winery,Single Vineyard Zinfandel,1976,Zinfandel,Sonoma County,United States,750,Bottle,GBP,9,1600.09,R38-12,Reds
Finca Salinas,Cuesta del Rio Carinena,2008,Carinena,Priorat,Spain,750,Bottle,USD,55,1189.47,A28-2,Reds
Tenuta Marchetti,Vigna del Vento,2011,Garganega,Veneto,Italy,750,Bottle,USD,106,1297.43,S20-6,Whites
Blackwood Cellars,Chardonnay,2009,Chardonnay,Sonoma County,United States,750,Bottle,USD,67,3389.77,S40-4,Whites
Bodega Reyes,Colline d'Oro,2007,Albarino,Rias Baixas,Spain,750,Bottle,USD,87,312.39,A29-3,Whites
Weingut Steiner,Terra Bruna Riesling,2022,Riesling,Mosel,Germany,750,Bottle,EUR,79,24.68,A13-2,Whites
Sundown Farms Estate,Single Vineyard Chenin Blanc,1982,Chenin Blanc,Stellenbosch,South Africa,750,Bottle,EUR,17,22.44,R5-7,Whites
Finca Ibarra,Single Vineyard Malbec,1980,Malbec,Mendoza,Argentina,750,Bottle,USD,34,3458.49,B12-10,Reds
Fattoria Fontana,Clos de la Chapelle,1976,Garganega,Veneto,Italy,750,Bottle,USD,5,51.57,B32-10,Whites
Weingut Baumann,Ladera Antigua,1980,Riesling,Mosel,Germany,750,Bottle,USD,37,617.13,D30-10,Whites
Quinta Silva,Clos des Cerisiers,1983,Touriga Nacional,Douro,Portugal,750,Bottle,USD,93,1009.01,D14-10,Reds
Sine Qua Non,Estate Cuvee,2018,Rhone Blend,Central Coast,United States,750,Bottle,USD,70,9.01,C28-4,Reds
Finca Castillo,Colline d'Oro Garnacha,1985,Garnacha,Rioja,Spain,750,Bottle,USD,69,3377.27,R19-12,Reds
Podere Villa,Costa Alta,1981,Nebbiolo,Piedmont,Italy,750,Bottle,USD,1,11.33,S8-11,Reds
Maison Fabre,Ladera Antigua,2014,Gewurztraminer,Alsace,France,750,Bottle,USD,33,153.99,B25-9,Whites
Bodegas Delgado,Clos des Cerisiers Garnacha,2015,Garnacha,Priorat,Spain,750,Bottle,EUR,37,8.61,R14-1,Reds
Gaja,Barbaresco,2005,Nebbiolo,Piedmont,Italy,750,Bottle,USD,14,2451.35,A31-7,Reds
Weingut Vogel,La Petite Combe,1997,Gruner Veltliner,Wachau,Austria,750,Bottle,GBP,3,695.64,C15-3,Whites
Botha Vineyards,Chenin Blanc,2017,Chenin Blanc,Stellenbosch,South Africa,750,Bottle,USD,3,155.41,S4-6,Whites
Finca Delgado,Old Vine Malbec,1982,Malbec,Mendoza,Argentina,750,Bottle,USD,41,14.32,S12-10,Reds
Sinclair Cellars,Old Vine Zinfandel,1985,Zinfandel,Sonoma County,United States,750,Bottle,USD,25,237.79,S23-6,Reds
Maison Lefevre,Vale do Rio Chenin Blanc,1989,Chenin Blanc,Loire Valley,France,750,Bottle,USD,14,55.63,A40-8,Whites
Sutherland Cellars,Estate Pinot Noir,1988,Pinot Noir,Central Otago,New Zealand,750,Bottle,USD,20,37.93,A23-11,Reds
Iron Gate Draw Vineyard,Les Grandes Vignes,2011,Rhone Blend,Rhone Valley,France,750,Bottle,USD,16,496.85,C12-11,Reds
Hacienda Navarro,Oloroso,,Palomino,Jerez,Spain,750,Bottle,USD,23,282.74,R33-9,Fortified
Maison Fabre,Costa Alta Gewurztraminer,1979,Gewurztraminer,Alsace,France,750,Bottle,USD,14,23.75,C13-2,Whites
Whitfield Vineyards,Estate Zinfandel,2021,Zinfandel,Sonoma County,United States,750,Bottle,USD,29,31.84,B11-10,Reds
Finca Aguirre,Malbec Reserve,1991,Malbec,Mendoza,Argentina,750,Bottle,USD,7,265.88,B20-6,Reds
Half Moon Pass Vineyard,Pinot Noir,1985,Pinot Noir,Sonoma County,United States,750,Bottle,USD,24,303.65,B5-8,Reds
Iron Gate Farms Vineyards,Le Clos Fleuri,2003,Riesling,Rheingau,Germany,750,Bottle,USD,4,37.18,A32-4,Whites
Finca Salinas,Vigna del Vento,2014,Carinena,Priorat,Spain,750,Bottle,GBP,105,22.27,C38-5,Reds
Lantern Ridge Wine Co.,Clos du Moulin Garnacha,2022,Garnacha,Priorat,Spain,750,Bottle,USD,11,9.73,B19-12,Reds
Bodega Reyes,Steilhang Reserve,2013,Tempranillo,Rioja,Spain,750,Bottle,USD,58,25.82,R20-5,Reds
Chateau Margaux,Grand Vin,2018,Bordeaux Blend,Margaux,France,750,Bottle,USD,38,991.03,D19-7,Reds
Iron Gate Hill Vineyards,Single Vineyard Sauvignon Blanc,2018,Sauvignon Blanc,Casablanca Valley,Chile,750,Bottle,GBP,72,1480.42,C13-3,Whites
Finca Delgado,Old Vine Malbec,1989,Malbec,Mendoza,Argentina,750,Bottle,USD,34,39.09,S1-7,Reds
Clos Delacroix,Terra Bruna,2019,Syrah,Rhone Valley,France,750,Bottle,EUR,106,39.42,S14-10,Reds
Winslow Cellars,Grenache,2004,Grenache,Barossa Valley,Australia,750,Bottle,USD,18,83.55,D8-12,Reds
Caldwell Wines,Pinot Noir Reserve,1994,Pinot Noir,Sonoma County,United States,750,Bottle,EUR,6,2934.41,R36-11,Reds
Maison Lefevre,La Vigna Alta Merlot,1997,Merlot,Bordeaux,France,750,Bottle,USD,33,148.15,B37-11,Reds
Clos Riviere,Les Terrasses Chardonnay,2023,Chardonnay,Burgundy,France,375,Half Bottle,USD,71,1897.39,B20-3,Whites
Fattoria Conti,Weinberg Reserve,2016,Nero d'Avola,Sicily,Italy,750,Bottle,USD,5,1102.22,C36-12,Reds
Sine Qua Non,Estate Cuvee,2005,Rhone Blend,Central Coast,United States,750,Bottle,USD,40,4458.68,C26-2,Reds
Cantina Ricci,Clos Saint-Martin Grillo,2017,Grillo,Sicily,Italy,750,Bottle,USD,6,470.31,S4-12,Cellar
Half Moon Gulch Cellars,Single Vineyard Cabernet Sauvignon,1990,Cabernet Sauvignon,Margaret River,Australia,750,Bottle,GBP,45,9.57,B30-3,Reds
Tenuta Moretti,Encosta Dourada,2020,Cabernet Sauvignon,Tuscany,Italy,750,Bottle,USD,8,20.87,R17-8,Reds
Holloway Cellars,Chardonnay Reserve,2023,Chardonnay,Margaret River,Australia,750,Bottle,USD,33,22.15,R19-2,Whites
Tenuta Romano,Alte Reben,2016,Cabernet Sauvignon,Tuscany,Italy,750,Bottle,USD,18,192.43,D30-12,Reds
Foggy Bend Hollow Winery,Estate Merlot,1995,Merlot,Napa Valley,United States,750,Bottle,USD,76,487.26,C14-1,Reds
Bodega Rivas,Single Vineyard Malbec,1984,Malbec,Mendoza,Argentina,750,Bottle,USD,30,1828.24,C4-6,Reds
Weingut Wagner,El Rincon,2010,Riesling,Rheingau,Germany,750,Bottle,USD,93,372.55,S26-11,Whites
Fox Hollow Creek Vineyard,Colline d'Oro,2023,Riesling,Rheingau,Germany,750,Bottle,USD,40,329.70,D19-10,Whites
Chateau Delacroix,Clos des Cerisiers Gewurztraminer,2016,Gewurztraminer,Alsace,France,750,Bottle,USD,28,318.33,A17-3,Whites
Weingut Wagner,Vina del Alto,1994,Riesling,Rheingau,Germany,750,Bottle,EUR,43,18.43,A15-12,Whites
Fairweather Estate,Zinfandel,2006,Zinfandel,Sonoma County,United States,750,Bottle,USD,6,68.51,C4-6,Reds
